198105061900,20.36,124.30,  970, 33.7,181.5,GMS-1 
198105061906,20.80,123.58,  965, 35.2,185.4,GMS-1 
198105061912,21.20,123.10,  965, 35.7,198.6,GMS-1 
198105061918,21.84,122.76,  964, 36.6,164.6,GMS-1 
198105062000,22.86,122.62,  964, 36.6,174.4,GMS-1 
198105062006,23.93,122.19,  967, 35.2,184.4,GMS-1 
198105062012,24.72,121.68,  977, 32.3,151.8,GMS-1 
198105062018,25.41,121.59,  978, 31.4,225.4,GMS-1 
198105062100,26.32,121.88,  980, 29.8,264.7,GMS-1 
198105062106,27.58,122.57,  985, 26.9,217.6,GMS-1 
198105062112,28.64,123.38,  990, 23.0,200.7,GMS-1 
198105062118,29.72,124.34,  990, 21.6,225.7,GMS-1 
198105062200,30.85,125.44,  990, 19.6,256.7,GMS-1 
198105062206,32.10,127.15,  991, 19.1,245.7,GMS-1 
198106070106,13.52,119.93,  995, 17.6,149.1,GMS-1 
198106070112,13.70,118.76,  993, 20.1,142.9,GMS-1 
198106070118,13.90,117.48,  991, 21.1,136.2,GMS-1 
198106070200,14.08,116.36,  985, 24.5,138.9,GMS-1 
198106070206,14.35,115.51,  980, 27.4,153.4,GMS-1 
198106070212,14.78,114.64,  978, 29.4,190.7,GMS-1 
198106070218,15.75,113.85,  973, 31.2,184.8,GMS-1 
198106070300,16.78,112.82,  966, 36.5,177.0,GMS-1 
198106070406,19.01,107.58,  982, 26.9,168.4,GMS-1 
198106070412,19.27,106.76,  982, 25.4,199.4,GMS-1 
198107070306,13.27,125.71,  991, 19.5,135.9,GMS-1 
198107070312,14.10,124.31,  991, 21.5,166.8,GMS-1 
198107070318,14.50,123.09,  990, 23.0,138.6,GMS-1 
198107070400,14.84,122.26,  992, 23.0,144.1,GMS-1 
198107070406,15.28,121.74,  992, 23.5,173.9,GMS-1 
198107070506,18.17,117.76,  990, 22.5,195.3,GMS-1 
198107070600,20.08,114.92,  982, 25.9,185.6,GMS-1 
198107070618,21.31,113.07,  983, 27.4,145.9,GMS-1 
198107070700,21.90,112.48,  987, 22.9,145.9,GMS-1 
198108071806,21.40,127.50,  991, 20.9,189.6,GMS-1 
198108071900,25.04,124.30,  986, 25.9,125.7,GMS-1 
198108071906,25.16,122.97,  985, 25.9,142.7,GMS-1 
198108071912,25.18,121.61,  986, 23.4,125.2,GMS-1 
198111072806,25.34,145.77,  992, 17.6,243.6,GMS-1 
198111072812,26.02,144.66,  990, 19.5,204.1,GMS-1 
198111072818,26.80,143.29,  986, 21.0,152.5,GMS-1 
198111072900,27.52,141.90,  985, 23.4,127.9,GMS-1 
198111072906,28.17,140.70,  983, 24.0,177.6,GMS-1 
198111072912,28.78,139.38,  981, 25.4,178.0,GMS-1 
198111072918,29.34,138.12,  982, 25.4,137.1,GMS-1 
198111073000,29.94,136.66,  985, 24.9,165.8,GMS-1 
198111073006,30.69,134.82,  981, 25.8,135.4,GMS-1 
198111073012,31.20,132.72,  976, 27.8,156.9,GMS-1 
198112080112,18.85,141.15,  992, 18.0,166.8,GMS-1 
198112080118,19.00,141.50,  990, 18.0,251.6,GMS-1 
198112080200,19.40,141.90,  990, 18.0,263.1,GMS-1 
198112080206,19.85,142.35,  990, 18.0,250.3,GMS-1 
